Year,Lutjanidae,Serranidae,Leiognathidae,Total
1950,500,1600,7000,9100
1951,500,1600,7000,9100
1952,500,2100,7300,9900
1953,500,1600,4200,6300
1954,600,2300,9300,12200
1955,600,2300,5700,8600
1956,600,2300,12400,15300
1957,800,3100,11700,15600
1958,800,3100,13300,17200
1959,1200,3700,12300,17200
1960,1200,3700,13900,18800
1961,1200,4700,11200,17100
1962,1400,5000,11700,18100
1963,1400,5500,11900,18800
1964,1400,5000,13000,19400
1965,2200,6000,14100,22300
1966,1700,6300,18900,26900
1967,1700,5800,20100,27600
1968,1600,6200,13700,21500
1969,1800,6500,26400,34700
1970,2930,6200,20100,29230
1971,2740,6000,13000,21740
1972,2850,6200,12300,21350
1973,4660,6800,18400,29860
1974,6520,7612,23837,37969
1975,5502,7582,11320,24404
1976,6189,7337,8483,22009
1977,6524,6596,11227,24347
1978,5849,6533,8215,20597
1979,5428,6596,10283,22307
1980,5287,6934,11578,23799
1981,6881,4428,10906,22215
1982,5713,8090,16339,30142
1983,5220,9766,18640,33626
1984,5559,9744,13205,28508
1985,6131,11021,12377,29529
1986,7087,12388,17876,37351
1987,8432,13462,9677,31571
1988,9346,13690,5408,28444
1989,8542,14668,10839,34049
1990,7751,13648,11341,32740
1991,9007,12473,8681,30161
1992,8958,14572,8675,32205
1993,11258,15511,11771,38540
1994,14990,15652,10457,41099
1995,13934,13671,7915,35520
1996,12260,13858,11074,37192
1997,14266,14431,13122,41819
1998,17820,14852,9899,42571
1999,13654,15365,9757,38776
2000,13980,27916,5369,47265
2001,13099,32214,7089,52402
2002,10796,27326,13761,51883
2003,8185,22808,13244,44237
2004,7727,22345,13263,43335
2005,8973,19871,13786,42630
2006,10180,7084,15749,33013
2007,6769,9326,18978,35073
2008,7737,10206,16382,34325
2009,7404,10455,13501,31360
2010,7652,8177,15928,31757
2011,7148,6355,10615,24118
2012,6251.601,7784.863,14061,28097.464
2013,6145.834,8326.667,14229,28701.501
2014,8807.888,7946.213,28635,45389.101
2015,12189.227,6725.398,22663,41577.625
2016,14580.695,6534.53,21564,42679.225
2017,16603.344,6836.713,20951,44391.057
2018,18814.282,7002.316,18247.216,44063.814
2019,19255.333,7299.41,23443.065,49997.808
2020,19383.235,7424.08,23000,49807.315
